# Temperature  Cv
1.93748 1.25731958e-08
1.95665 1.41677447e-08
1.97584 1.77125912e-08
1.99503 2.20024958e-08
2.0142 2.72470061e-08
2.03339 3.36498488e-08
2.05257 4.13216185e-08
2.07175 5.05766366e-08
2.09093 6.16593752e-08
2.11012 7.48725142e-08
2.12931 9.06176865e-08
2.14848 1.09337270e-07
2.16767 1.31427078e-07
2.18686 1.57410977e-07
2.20603 1.88028207e-07
2.22522 2.23878305e-07
2.2444 2.65700510e-07
2.26358 3.14402860e-07
2.28276 3.70980706e-07
2.30195 4.36551636e-07
2.32114 5.12233237e-07
2.34031 5.99451596e-07
2.3595 6.99696830e-07
2.37868 8.14581290e-07
2.39786 9.45932698e-07
2.41705 1.09586399e-06
2.43623 1.26652303e-06
2.45541 1.46033708e-06
2.47459 1.68000115e-06
2.49378 1.92840816e-06
2.51297 2.20875954e-06
2.53214 2.52453028e-06
2.55133 2.87942239e-06
2.57051 3.27755115e-06
2.58969 3.72341601e-06
2.60887 4.22165031e-06
2.62806 4.77756257e-06
2.64724 5.39665343e-06
2.66642 6.08490664e-06
2.68561 6.84881234e-06
2.70478 7.69518665e-06
2.72397 8.63143359e-06
2.74316 9.66551597e-06
2.76234 1.08058739e-05
2.78152 1.20614539e-05
2.8007 1.34419301e-05
2.81989 1.49574946e-05
2.83907 1.66188809e-05
2.85825 1.84376840e-05
2.87744 2.04261742e-05
2.89661 2.25970929e-05
2.9158 2.49641482e-05
2.93499 2.75417638e-05
2.95417 3.03451146e-05
2.97335 3.33902077e-05
2.99253 3.66938184e-05
3.01172 4.02737351e-05
3.03089 4.41484794e-05
3.05008 4.83375567e-05
3.06927 5.28614677e-05
3.08844 5.77414990e-05
3.10763 6.30000897e-05
3.12681 6.86606334e-05
3.146 7.47474376e-05
3.16518 8.12859624e-05
3.18436 8.83028028e-05
3.20355 9.58255376e-05
3.22272 1.03882834e-04
3.24191 1.12504541e-04
3.2611 1.21721649e-04
3.28027 1.31566339e-04
3.29946 1.42071908e-04
3.31864 1.53272814e-04
3.33783 1.65204849e-04
3.35701 1.77904987e-04
3.37619 1.91411399e-04
3.39538 2.05763511e-04
3.41455 2.21001980e-04
3.43374 2.37168855e-04
3.45293 2.54307338e-04
3.4721 2.72461958e-04
3.49129 2.91678566e-04
3.51047 3.12004256e-04
3.52966 3.33487533e-04
3.54883 3.56178073e-04
3.56802 3.80126963e-04
3.58721 4.05386579e-04
3.60638 4.32010542e-04
3.62557 4.60053957e-04
3.64475 4.89573041e-04
3.66393 5.20625396e-04
3.68312 5.53270039e-04
3.7023 5.87567128e-04
3.72149 6.23578182e-04
3.74066 6.61365985e-04
3.75985 7.00994657e-04
3.77904 7.42529496e-04
3.79821 7.86037109e-04
3.8174 8.31585395e-04
3.83658 8.79243365e-04
3.85576 9.29081277e-04
3.87495 9.81170754e-04
3.89413 1.03558452e-03
3.91332 1.09239621e-03
3.93249 1.15168096e-03
3.95168 1.21351494e-03
3.97087 1.27797537e-03
3.99004 1.34514070e-03
4.00923 1.41509018e-03
4.02841 1.48790433e-03
4.04759 1.56366471e-03
4.06677 1.64245379e-03
4.08596 1.72435501e-03
4.10514 1.80945275e-03
4.12432 1.89783237e-03
4.14351 1.98958014e-03
4.16269 2.08478314e-03
4.18187 2.18352924e-03
4.20106 2.28590715e-03
4.22024 2.39200644e-03
4.23942 2.50191732e-03
4.2586 2.61573080e-03
4.27779 2.73353842e-03
4.29696 2.85543246e-03
4.31615 2.98150589e-03
4.33534 3.11185208e-03
4.35452 3.24656503e-03
4.3737 3.38573922e-03
4.39289 3.52946968e-03
4.41207 3.67785176e-03
4.43125 3.83098134e-03
4.45043 3.98895442e-03
4.46962 4.15186747e-03
4.48879 4.31981736e-03
4.50798 4.49290099e-03
4.52717 4.67121553e-03
4.54635 4.85485839e-03
4.56553 5.04392701e-03
4.58471 5.23851888e-03
4.6039 5.43873165e-03
4.62308 5.64466290e-03
4.64226 5.85641018e-03
4.66145 6.07407101e-03
4.68062 6.29774273e-03
4.69981 6.52752250e-03
4.719 6.76350727e-03
4.73818 7.00579385e-03
4.75736 7.25447874e-03
4.77654 7.50965797e-03
4.79573 7.77142731e-03
4.8149 8.03988216e-03
4.83409 8.31511740e-03
4.85328 8.59722734e-03
4.87245 8.88630598e-03
4.89164 9.18244648e-03
4.91083 9.48574150e-03
4.93001 9.79628313e-03
4.94919 1.01141625e-02
4.96837 1.04394703e-02
4.98756 1.07722963e-02
5.00673 1.11127293e-02
5.02592 1.14608573e-02
5.04511 1.18167675e-02
5.06428 1.21805462e-02
5.08347 1.25522785e-02
5.10265 1.29320486e-02
5.12184 1.33199395e-02
5.14102 1.37160331e-02
5.1602 1.41204104e-02
5.17939 1.45331508e-02
5.19856 1.49543328e-02
5.21775 1.53840335e-02
5.23694 1.58223287e-02
5.25611 1.62692927e-02
5.2753 1.67249987e-02
5.29448 1.71895183e-02
5.31367 1.76629214e-02
5.33284 1.81452769e-02
5.35203 1.86366519e-02
5.37122 1.91371117e-02
5.39039 1.96467205e-02
5.40958 2.01655402e-02
5.42877 2.06936316e-02
5.44794 2.12310536e-02
5.46713 2.17778631e-02
5.48631 2.23341154e-02
5.50549 2.28998641e-02
5.52467 2.34751608e-02
5.54386 2.40600551e-02
5.56305 2.46545949e-02
5.58222 2.52588259e-02
5.60141 2.58727921e-02
5.62059 2.64965354e-02
5.63977 2.71300953e-02
5.65896 2.77735097e-02
5.67814 2.84268143e-02
5.69732 2.90900423e-02
5.7165 2.97632251e-02
5.73569 3.04463920e-02
5.75488 3.11395696e-02
5.77405 3.18427826e-02
5.79324 3.25560535e-02
5.81242 3.32794024e-02
5.8316 3.40128469e-02
5.85078 3.47564024e-02
5.86997 3.55100821e-02
5.88915 3.62738966e-02
5.90833 3.70478541e-02
5.92752 3.78319604e-02
5.94671 3.86262190e-02
5.96588 3.94306306e-02
5.98507 4.02451937e-02
6.00425 4.10699043e-02
6.02343 4.19047556e-02
6.04261 4.27497385e-02
6.0618 4.36048413e-02
6.08098 4.44700498e-02
6.10016 4.53453469e-02
6.11935 4.62307133e-02
6.13853 4.71261269e-02
6.15771 4.80315630e-02
6.1769 4.89469942e-02
6.19608 4.98723906e-02
6.21526 5.08077195e-02
6.23444 5.17529459e-02
6.25363 5.27080315e-02
6.2728 5.36729359e-02
6.29199 5.46476158e-02
6.31118 5.56320252e-02
6.33036 5.66261156e-02
6.34954 5.76298355e-02
6.36872 5.86431311e-02
6.38791 5.96659456e-02
6.40709 6.06982196e-02
6.42627 6.17398912e-02
6.44546 6.27908957e-02
6.46463 6.38511655e-02
6.48382 6.49206307e-02
6.50301 6.59992186e-02
6.52219 6.70868538e-02
6.54137 6.81834583e-02
6.56055 6.92889514e-02
6.57974 7.04032498e-02
6.59892 7.15262677e-02
6.6181 7.26579165e-02
6.63729 7.37981050e-02
6.65646 7.49467398e-02
6.67565 7.61037246e-02
6.69484 7.72689604e-02
6.71401 7.84423461e-02
6.7332 7.96237779e-02
6.75238 8.08131493e-02
6.77157 8.20103516e-02
6.79074 8.32152737e-02
6.80993 8.44278020e-02
6.82912 8.56478201e-02
6.84829 8.68752099e-02
6.86748 8.81098505e-02
6.88666 8.93516188e-02
6.90584 9.06003894e-02
6.92503 9.18560346e-02
6.94421 9.31184246e-02
6.9634 9.43874272e-02
6.98257 9.56629081e-02
7.00176 9.69447309e-02
7.02095 9.82327570e-02
7.04012 9.95268459e-02
7.05931 1.00826855e-01
7.07849 1.02132639e-01
7.09767 1.03444052e-01
7.11686 1.04760946e-01
7.13604 1.06083169e-01
7.15523 1.07410570e-01
7.1744 1.08742994e-01
7.19359 1.10080285e-01
7.21278 1.11422287e-01
7.23195 1.12768839e-01
7.25114 1.14119781e-01
7.27032 1.15474951e-01
7.2895 1.16834183e-01
7.30868 1.18197314e-01
7.32787 1.19564175e-01
7.34706 1.20934599e-01
7.36623 1.22308415e-01
7.38542 1.23685453e-01
7.4046 1.25065540e-01
7.42378 1.26448504e-01
7.44297 1.27834168e-01
7.46215 1.29222358e-01
7.48133 1.30612897e-01
7.50051 1.32005606e-01
