# Temperature  Cv
1.93748 2.07716084e-08
1.95665 2.32656021e-08
1.97584 2.87836883e-08
1.99503 3.55241355e-08
2.0142 4.36732080e-08
2.03339 5.34404535e-08
2.05257 6.51984010e-08
2.07175 7.92322680e-08
2.09093 9.58796591e-08
2.11012 1.15681905e-07
2.12931 1.39069743e-07
2.14848 1.66636892e-07
2.16767 1.99017813e-07
2.18686 2.36951746e-07
2.20603 2.81253597e-07
2.22522 3.32813943e-07
2.2444 3.92721267e-07
2.26358 4.62087337e-07
2.28276 5.42181078e-07
2.30195 6.34486787e-07
2.32114 7.40494579e-07
2.34031 8.61962326e-07
2.3595 1.00088655e-06
2.37868 1.15937437e-06
2.39786 1.33972499e-06
2.41705 1.54451118e-06
2.43623 1.77654438e-06
2.45541 2.03891541e-06
2.47459 2.33488972e-06
2.49378 2.66817515e-06
2.51297 3.04269488e-06
2.53214 3.46271554e-06
2.55133 3.93294031e-06
2.57051 4.45831101e-06
2.58969 5.04426425e-06
2.60887 5.69662079e-06
2.62806 6.42165542e-06
2.64724 7.22612604e-06
2.66642 8.11718637e-06
2.68561 9.10261297e-06
2.70478 1.01906655e-05
2.72397 1.13901333e-05
2.74316 1.27104227e-05
2.76234 1.41615456e-05
2.78152 1.57541828e-05
2.8007 1.74996094e-05
2.81989 1.94097636e-05
2.83907 2.14973639e-05
2.85825 2.37758970e-05
2.87744 2.62595422e-05
2.89661 2.89631775e-05
2.9158 3.19026585e-05
2.93499 3.50946502e-05
2.95417 3.85565509e-05
2.97335 4.23067599e-05
2.99253 4.63646255e-05
3.01172 5.07503340e-05
3.03089 5.54849976e-05
3.05008 6.05908630e-05
3.06927 6.60910795e-05
3.08844 7.20098324e-05
3.10763 7.83723954e-05
3.12681 8.52050784e-05
3.146 9.25352622e-05
3.16518 1.00391515e-04
3.18436 1.08803529e-04
3.20355 1.17802073e-04
3.22272 1.27419137e-04
3.24191 1.37687859e-04
3.2611 1.48642639e-04
3.28027 1.60319096e-04
3.29946 1.72754028e-04
3.31864 1.85985485e-04
3.33783 2.00052827e-04
3.35701 2.14996585e-04
3.37619 2.30858655e-04
3.39538 2.47682258e-04
3.41455 2.65511789e-04
3.43374 2.84393044e-04
3.45293 3.04373098e-04
3.4721 3.25500360e-04
3.49129 3.47824511e-04
3.51047 3.71396582e-04
3.52966 3.96268984e-04
3.54883 4.22495359e-04
3.56802 4.50130808e-04
3.58721 4.79231589e-04
3.60638 5.09855396e-04
3.62557 5.42061200e-04
3.64475 5.75909222e-04
3.66393 6.11461257e-04
3.68312 6.48780051e-04
3.7023 6.87929738e-04
3.72149 7.28975900e-04
3.74066 7.71985250e-04
3.75985 8.17025808e-04
3.77904 8.64166772e-04
3.79821 9.13478585e-04
3.8174 9.65033006e-04
3.83658 1.01890290e-03
3.85576 1.07516238e-03
3.87495 1.13388662e-03
3.89413 1.19515197e-03
3.91332 1.25903605e-03
3.93249 1.32561745e-03
3.95168 1.39497578e-03
3.97087 1.46719186e-03
3.99004 1.54234752e-03
4.00923 1.62052549e-03
4.02841 1.70180956e-03
4.04759 1.78628447e-03
4.06677 1.87403598e-03
4.08596 1.96515059e-03
4.10514 2.05971570e-03
4.12432 2.15781972e-03
4.14351 2.25955164e-03
4.16269 2.36500144e-03
4.18187 2.47425972e-03
4.20106 2.58741778e-03
4.22024 2.70456774e-03
4.23942 2.82580219e-03
4.2586 2.95121446e-03
4.27779 3.08089851e-03
4.29696 3.21494868e-03
4.31615 3.35345988e-03
4.33534 3.49652759e-03
4.35452 3.64424758e-03
4.3737 3.79671612e-03
4.39289 3.95402976e-03
4.41207 4.11628542e-03
4.43125 4.28358032e-03
4.45043 4.45601183e-03
4.46962 4.63367761e-03
4.48879 4.81667549e-03
4.50798 5.00510335e-03
4.52717 5.19905917e-03
4.54635 5.39864104e-03
4.56553 5.60394689e-03
4.58471 5.81507476e-03
4.6039 6.03212262e-03
4.62308 6.25518817e-03
4.64226 6.48436905e-03
4.66145 6.71976269e-03
4.68062 6.96146623e-03
4.69981 7.20957646e-03
4.719 7.46419000e-03
4.73818 7.72540290e-03
4.75736 7.99331094e-03
4.77654 8.26800939e-03
4.79573 8.54959295e-03
4.8149 8.83815585e-03
4.83409 9.13379171e-03
4.85328 9.43659350e-03
4.87245 9.74665351e-03
4.89164 1.00640633e-02
4.91083 1.03889138e-02
4.93001 1.07212949e-02
4.94919 1.10612958e-02
4.96837 1.14090048e-02
4.98756 1.17645094e-02
5.00673 1.21278958e-02
5.02592 1.24992494e-02
5.04511 1.28786546e-02
5.06428 1.32661946e-02
5.08347 1.36619515e-02
5.10265 1.40660062e-02
5.12184 1.44784384e-02
5.14102 1.48993267e-02
5.1602 1.53287480e-02
5.17939 1.57667783e-02
5.19856 1.62134919e-02
5.21775 1.66689620e-02
5.23694 1.71332601e-02
5.25611 1.76064562e-02
5.2753 1.80886190e-02
5.29448 1.85798155e-02
5.31367 1.90801109e-02
5.33284 1.95895691e-02
5.35203 2.01082522e-02
5.37122 2.06362205e-02
5.39039 2.11735326e-02
5.40958 2.17202453e-02
5.42877 2.22764137e-02
5.44794 2.28420909e-02
5.46713 2.34173283e-02
5.48631 2.40021751e-02
5.50549 2.45966787e-02
5.52467 2.52008845e-02
5.54386 2.58148361e-02
5.56305 2.64385747e-02
5.58222 2.70721395e-02
5.60141 2.77155679e-02
5.62059 2.83688947e-02
5.63977 2.90321530e-02
5.65896 2.97053733e-02
5.67814 3.03885841e-02
5.69732 3.10818115e-02
5.7165 3.17850796e-02
5.73569 3.24984100e-02
5.75488 3.32218219e-02
5.77405 3.39553323e-02
5.79324 3.46989559e-02
5.81242 3.54527046e-02
5.8316 3.62165884e-02
5.85078 3.69906146e-02
5.86997 3.77747879e-02
5.88915 3.85691108e-02
5.90833 3.93735832e-02
5.92752 4.01882023e-02
5.94671 4.10129631e-02
5.96588 4.18478579e-02
5.98507 4.26928762e-02
6.00425 4.35480052e-02
6.02343 4.44132295e-02
6.04261 4.52885309e-02
6.0618 4.61738887e-02
6.08098 4.70692795e-02
6.10016 4.79746774e-02
6.11935 4.88900536e-02
6.13853 4.98153770e-02
6.15771 5.07506134e-02
6.1769 5.16957261e-02
6.19608 5.26506758e-02
6.21526 5.36154204e-02
6.23444 5.45899151e-02
6.25363 5.55741126e-02
6.2728 5.65679625e-02
6.29199 5.75714121e-02
6.31118 5.85844057e-02
6.33036 5.96068851e-02
6.34954 6.06387892e-02
6.36872 6.16800544e-02
6.38791 6.27306144e-02
6.40709 6.37903999e-02
6.42627 6.48593392e-02
6.44546 6.59373580e-02
6.46463 6.70243790e-02
6.48382 6.81203226e-02
6.50301 6.92251061e-02
6.52219 7.03386447e-02
6.54137 7.14608505e-02
6.56055 7.25916333e-02
6.57974 7.37309000e-02
6.59892 7.48785553e-02
6.6181 7.60345010e-02
6.63729 7.71986363e-02
6.65646 7.83708583e-02
6.67565 7.95510611e-02
6.69484 8.07391366e-02
6.71401 8.19349741e-02
6.7332 8.31384604e-02
6.75238 8.43494800e-02
6.77157 8.55679150e-02
6.79074 8.67936450e-02
6.80993 8.80265473e-02
6.82912 8.92664969e-02
6.84829 9.05133666e-02
6.86748 9.17670266e-02
6.88666 9.30273453e-02
