# Temperature  Cv
1.93748 5.37604592e-08
1.95665 5.97676262e-08
1.97584 7.30564352e-08
1.99503 8.89645889e-08
2.0142 1.07934466e-07
2.03339 1.30455010e-07
2.05257 1.57102477e-07
2.07175 1.88546255e-07
2.09093 2.25531403e-07
2.11012 2.68907752e-07
2.12931 3.19519313e-07
2.14848 3.78617551e-07
2.16767 4.47226921e-07
2.18686 5.26697841e-07
2.20603 6.18561171e-07
2.22522 7.24435085e-07
2.2444 8.46100738e-07
2.26358 9.85548832e-07
2.28276 1.14505528e-06
2.30195 1.32703572e-06
2.32114 1.53414439e-06
2.34031 1.76935573e-06
2.3595 2.03584787e-06
2.37868 2.33711908e-06
2.39786 2.67699361e-06
2.41705 3.05967405e-06
2.43623 3.48961912e-06
2.45541 3.97168333e-06
2.47459 4.51123342e-06
2.49378 5.11385733e-06
2.51297 5.78581239e-06
2.53214 6.53371681e-06
2.55133 7.36455549e-06
2.57051 8.28611082e-06
2.58969 9.30645037e-06
2.60887 1.04342878e-05
2.62806 1.16790528e-05
2.64724 1.30506640e-05
2.66642 1.45597209e-05
2.68561 1.62174343e-05
2.70478 1.80358125e-05
2.72397 2.00276030e-05
2.74316 2.22062110e-05
2.76234 2.45858275e-05
2.78152 2.71815457e-05
2.8007 3.00091924e-05
2.81989 3.30855721e-05
2.83907 3.64283042e-05
2.85825 4.00558522e-05
2.87744 4.39876807e-05
2.89661 4.82442498e-05
2.9158 5.28470555e-05
2.93499 5.78184437e-05
2.95417 6.31819188e-05
2.97335 6.89620676e-05
2.99253 7.51844898e-05
3.01172 8.18759319e-05
3.03089 8.90641648e-05
3.05008 9.67783039e-05
3.06927 1.05048582e-04
3.08844 1.13906193e-04
3.10763 1.23383891e-04
3.12681 1.33515435e-04
3.146 1.44335808e-04
3.16518 1.55881455e-04
3.18436 1.68189895e-04
3.20355 1.81299949e-04
3.22272 1.95251795e-04
3.24191 2.10087060e-04
3.2611 2.25848454e-04
3.28027 2.42580037e-04
3.29946 2.60327454e-04
3.31864 2.79137481e-04
3.33783 2.99058273e-04
3.35701 3.20139388e-04
3.37619 3.42431746e-04
3.39538 3.65987659e-04
3.41455 3.90860718e-04
3.43374 4.17105941e-04
3.45293 4.44779790e-04
3.4721 4.73939884e-04
3.49129 5.04645368e-04
3.51047 5.36956772e-04
3.52966 5.70935849e-04
3.54883 6.06645760e-04
3.56802 6.44150988e-04
3.58721 6.83517358e-04
3.60638 7.24812056e-04
3.62557 7.68103451e-04
3.64475 8.13461223e-04
3.66393 8.60956527e-04
3.68312 9.10661527e-04
3.7023 9.62649676e-04
3.72149 1.01699581e-03
3.74066 1.07377580e-03
3.75985 1.13306688e-03
3.77904 1.19494727e-03
3.79821 1.25949632e-03
3.8174 1.32679477e-03
3.83658 1.39692419e-03
3.85576 1.46996736e-03
3.87495 1.54600809e-03
3.89413 1.62513111e-03
3.91332 1.70742225e-03
3.93249 1.79296830e-03
3.95168 1.88185703e-03
3.97087 1.97417696e-03
3.99004 2.07001759e-03
4.00923 2.16946930e-03
4.02841 2.27262317e-03
4.04759 2.37957120e-03
4.06677 2.49040601e-03
4.08596 2.60522095e-03
4.10514 2.72411011e-03
4.12432 2.84716816e-03
4.14351 2.97449040e-03
4.16269 3.10617260e-03
4.18187 3.24231128e-03
4.20106 3.38300318e-03
4.22024 3.52834561e-03
4.23942 3.67843640e-03
4.2586 3.83337355e-03
4.27779 3.99325553e-03
4.29696 4.15818098e-03
4.31615 4.32824892e-03
4.33534 4.50355851e-03
4.35452 4.68420906e-03
4.3737 4.87030005e-03
4.39289 5.06193098e-03
4.41207 5.25920143e-03
4.43125 5.46221093e-03
4.45043 5.67105910e-03
4.46962 5.88584534e-03
4.48879 6.10666882e-03
4.50798 6.33362872e-03
4.52717 6.56682405e-03
4.54635 6.80635332e-03
4.56553 7.05231482e-03
4.58471 7.30480660e-03
4.6039 7.56392620e-03
4.62308 7.82977073e-03
4.64226 8.10243681e-03
4.66145 8.38202051e-03
4.68062 8.66861746e-03
4.69981 8.96232252e-03
4.719 9.26322988e-03
4.73818 9.57143318e-03
4.75736 9.88702517e-03
4.77654 1.02100978e-02
4.79573 1.05407422e-02
4.8149 1.08790488e-02
4.83409 1.12251068e-02
4.85328 1.15790045e-02
4.87245 1.19408295e-02
4.89164 1.23106679e-02
4.91083 1.26886050e-02
4.93001 1.30747248e-02
4.94919 1.34691101e-02
4.96837 1.38718428e-02
4.98756 1.42830031e-02
5.00673 1.47026701e-02
5.02592 1.51309215e-02
5.04511 1.55678338e-02
5.06428 1.60134816e-02
5.08347 1.64679385e-02
5.10265 1.69312764e-02
5.12184 1.74035657e-02
5.14102 1.78848751e-02
5.1602 1.83752717e-02
5.17939 1.88748210e-02
5.19856 1.93835869e-02
5.21775 1.99016312e-02
5.23694 2.04290142e-02
5.25611 2.09657945e-02
5.2753 2.15120284e-02
5.29448 2.20677707e-02
5.31367 2.26330741e-02
5.33284 2.32079895e-02
5.35203 2.37925655e-02
5.37122 2.43868491e-02
5.39039 2.49908847e-02
5.40958 2.56047152e-02
5.42877 2.62283809e-02
5.44794 2.68619203e-02
5.46713 2.75053694e-02
5.48631 2.81587622e-02
5.50549 2.88221303e-02
5.52467 2.94955033e-02
5.54386 3.01789080e-02
5.56305 3.08723694e-02
5.58222 3.15759099e-02
5.60141 3.22895495e-02
5.62059 3.30133058e-02
5.63977 3.37471939e-02
5.65896 3.44912267e-02
5.67814 3.52454144e-02
5.69732 3.60097648e-02
5.7165 3.67842830e-02
5.73569 3.75689718e-02
5.75488 3.83638312e-02
5.77405 3.91688589e-02
5.79324 3.99840498e-02
5.81242 4.08093961e-02
5.8316 4.16448875e-02
5.85078 4.24905113e-02
5.86997 4.33462515e-02
5.88915 4.42120900e-02
5.90833 4.50880058e-02
5.92752 4.59739752e-02
5.94671 4.68699717e-02
5.96588 4.77759662e-02
5.98507 4.86919267e-02
6.00425 4.96178188e-02
6.02343 5.05536051e-02
6.04261 5.14992453e-02
6.0618 5.24546966e-02
6.08098 5.34199134e-02
6.10016 5.43948473e-02
6.11935 5.53794471e-02
6.13853 5.63736587e-02
6.15771 5.73774255e-02
6.1769 5.83906881e-02
6.19608 5.94133840e-02
6.21526 6.04454483e-02
6.23444 6.14868133e-02
6.25363 6.25374082e-02
6.2728 6.35971599e-02
6.29199 6.46659924e-02
6.31118 6.57438268e-02
6.33036 6.68305817e-02
6.34954 6.79261728e-02
6.36872 6.90305132e-02
6.38791 7.01435134e-02
6.40709 7.12650811e-02
6.42627 7.23951214e-02
6.44546 7.35335367e-02
6.46463 7.46802268e-02
6.48382 7.58350889e-02
6.50301 7.69980176e-02
6.52219 7.81689051e-02
6.54137 7.93476408e-02
6.56055 8.05341116e-02
6.57974 8.17282021e-02
6.59892 8.29297944e-02
6.6181 8.41387680e-02
6.63729 8.53550000e-02
6.65646 8.65783653e-02
6.67565 8.78087362e-02
6.69484 8.90459828e-02
6.71401 9.02899729e-02
6.7332 9.15405722e-02
6.75238 9.27976438e-02
6.77157 9.40610489e-02
6.79074 9.53306463e-02
6.80993 9.66062929e-02
6.82912 9.78878435e-02
6.84829 9.91751508e-02
6.86748 1.00468065e-01
6.88666 1.01766436e-01
6.90584 1.03070109e-01
6.92503 1.04378930e-01
6.94421 1.05692742e-01
6.9634 1.07011386e-01
6.98257 1.08334702e-01
7.00176 1.09662527e-01
7.02095 1.10994698e-01
7.04012 1.12331049e-01
7.05931 1.13671413e-01
7.07849 1.15015622e-01
7.09767 1.16363506e-01
7.11686 1.17714893e-01
7.13604 1.19069610e-01
7.15523 1.20427485e-01
7.1744 1.21788341e-01
7.19359 1.23152001e-01
7.21278 1.24518289e-01
7.23195 1.25887025e-01
7.25114 1.27258031e-01
7.27032 1.28631124e-01
7.2895 1.30006124e-01
7.30868 1.31382847e-01
7.32787 1.32761111e-01
7.34706 1.34140732e-01
7.36623 1.35521525e-01
7.38542 1.36903304e-01
7.4046 1.38285883e-01
7.42378 1.39669076e-01
7.44297 1.41052696e-01
7.46215 1.42436555e-01
7.48133 1.43820467e-01
7.50051 1.45204242e-01
7.5197 1.46587693e-01
7.53889 1.47970631e-01
7.55806 1.49352869e-01
7.57725 1.50734216e-01
7.59643 1.52114486e-01
7.61561 1.53493489e-01
7.6348 1.54871037e-01
7.65398 1.56246942e-01
7.67316 1.57621017e-01
7.69234 1.58993074e-01
7.71153 1.60362925e-01
7.73072 1.61730385e-01
7.74989 1.63095267e-01
7.76908 1.64457385e-01
7.78826 1.65816554e-01
7.80744 1.67172590e-01
7.82662 1.68525310e-01
7.84581 1.69874530e-01
7.86499 1.71220069e-01
7.88417 1.72561746e-01
7.90336 1.73899380e-01
7.92254 1.75232792e-01
7.94172 1.76561805e-01
7.96091 1.77886241e-01
7.98009 1.79205925e-01
7.99927 1.80520682e-01
8.01845 1.81830339e-01
8.03764 1.83134723e-01
8.05681 1.84433665e-01
8.076 1.85726996e-01
8.09519 1.87014547e-01
8.11436 1.88296153e-01
8.13355 1.89571649e-01
8.15274 1.90840873e-01
8.17192 1.92103662e-01
8.1911 1.93359858e-01
8.21028 1.94609303e-01
8.22947 1.95851841e-01
8.24864 1.97087317e-01
8.26783 1.98315580e-01
8.28702 1.99536480e-01
8.30619 2.00749867e-01
8.32538 2.01955596e-01
8.34456 2.03153523e-01
8.36375 2.04343504e-01
8.38293 2.05525401e-01
8.40211 2.06699076e-01
8.4213 2.07864392e-01
8.44047 2.09021216e-01
8.45966 2.10169417e-01
8.47885 2.11308865e-01
8.49802 2.12439435e-01
8.51721 2.13561002e-01
8.53639 2.14673443e-01
8.55558 2.15776640e-01
8.57475 2.16870474e-01
8.59394 2.17954832e-01
8.61313 2.19029601e-01
8.6323 2.20094671e-01
8.65149 2.21149935e-01
8.67068 2.22195288e-01
8.68985 2.23230627e-01
8.70904 2.24255853e-01
8.72822 2.25270870e-01
8.74741 2.26275581e-01
8.76658 2.27269895e-01
8.78577 2.28253724e-01
8.80496 2.29226979e-01
8.82413 2.30189577e-01
8.84332 2.31141436e-01
8.8625 2.32082478e-01
8.88168 2.33012625e-01
8.90087 2.33931805e-01
8.92005 2.34839947e-01
8.93924 2.35736981e-01
8.95841 2.36622843e-01
8.9776 2.37497470e-01
8.99679 2.38360800e-01
9.01596 2.39212777e-01
9.03515 2.40053345e-01
9.05433 2.40882453e-01
9.07351 2.41700049e-01
9.09269 2.42506087e-01
9.11188 2.43300523e-01
9.13107 2.44083314e-01
9.15024 2.44854421e-01
9.16943 2.45613808e-01
9.18862 2.46361441e-01
9.20779 2.47097287e-01
9.22698 2.47821319e-01
9.24616 2.48533509e-01
9.26534 2.49233834e-01
9.28452 2.49922272e-01
9.30371 2.50598804e-01
9.3229 2.51263415e-01
9.34207 2.51916090e-01
9.36126 2.52556818e-01
9.38044 2.53185589e-01
9.39962 2.53802398e-01
9.41881 2.54407240e-01
9.43799 2.55000113e-01
9.45717 2.55581018e-01
9.47635 2.56149958e-01
9.49554 2.56706937e-01
9.51471 2.57251963e-01
9.5339 2.57785046e-01
9.55309 2.58306198e-01
9.57227 2.58815433e-01
9.59145 2.59312766e-01
9.61063 2.59798218e-01
9.62982 2.60271807e-01
9.649 2.60733557e-01
9.66818 2.61183493e-01
9.68737 2.61621641e-01
9.70654 2.62048029e-01
9.72573 2.62462690e-01
9.74492 2.62865655e-01
9.7641 2.63256959e-01
9.78328 2.63636638e-01
9.80246 2.64004731e-01
9.82165 2.64361279e-01
9.84083 2.64706322e-01
9.86001 2.65039905e-01
9.8792 2.65362073e-01
9.89837 2.65672873e-01
9.91756 2.65972355e-01
9.93675 2.66260568e-01
9.95593 2.66537565e-01
9.97511 2.66803399e-01
9.99429 2.67058126e-01
10.0135 2.67301802e-01
10.0327 2.67534485e-01
10.0518 2.67756235e-01
10.071 2.67967113e-01
10.0902 2.68167181e-01
10.1094 2.68356503e-01
10.1286 2.68535144e-01
10.1478 2.68703170e-01
10.1669 2.68860648e-01
10.1861 2.69007648e-01
10.2053 2.69144239e-01
10.2245 2.69270492e-01
10.2437 2.69386479e-01
10.2629 2.69492274e-01
10.282 2.69587951e-01
10.3012 2.69673585e-01
10.3204 2.69749252e-01
10.3396 2.69815029e-01
10.3588 2.69870994e-01
10.378 2.69917227e-01
10.3971 2.69953807e-01
10.4163 2.69980814e-01
