# Temperature_scaled  Cv
1.000000000000000000e+00 3.360301294731536811e-04
1.009950497524876312e+00 3.482594153336635804e-04
1.019900995049752401e+00 3.797221044707919154e-04
1.029851492574628713e+00 4.132872190947953412e-04
1.039801990099505025e+00 4.490385528747806447e-04
1.049752487624381114e+00 4.870600031779278530e-04
1.059702985149257426e+00 5.274354305537749593e-04
1.069653482674133738e+00 5.702485196644658432e-04
1.079603980199010049e+00 6.155826420672750416e-04
1.089554477723886139e+00 6.635207212263593592e-04
1.099504975248762451e+00 7.141451001010287172e-04
1.109455472773638762e+00 7.675374116284519122e-04
1.119405970298514852e+00 8.237784523894923485e-04
1.129356467823391164e+00 8.829480597175359737e-04
1.139306965348267475e+00 9.451249924823859746e-04
1.149257462873143565e+00 1.010386815753731762e-03
1.159207960398019877e+00 1.078809789522547401e-03
1.169158457922896188e+00 1.150468761633333635e-03
1.179108955447772278e+00 1.225437065055825538e-03
1.189059452972648590e+00 1.303786419601802877e-03
1.199009950497524901e+00 1.385586838170536732e-03
1.208960448022401213e+00 1.470906537585918612e-03
1.218910945547277302e+00 1.559811854068787187e-03
1.228861443072153614e+00 1.652367163369958258e-03
1.238811940597029926e+00 1.748634805572255599e-03
1.248762438121906015e+00 1.848675014554629348e-03
1.258712935646782327e+00 1.952545852096827100e-03
1.268663433171658639e+00 2.060303146589758869e-03
1.278613930696534950e+00 2.172000436304972505e-03
1.288564428221411040e+00 2.287688917165475472e-03
1.298514925746287352e+00 2.407417394950590699e-03
1.308465423271163441e+00 2.531232241858732274e-03
1.318415920796039753e+00 2.659177357343892739e-03
1.328366418320916065e+00 2.791294133135519256e-03
1.338316915845792376e+00 2.927621422344880032e-03
1.348267413370668466e+00 3.068195512556481323e-03
1.358217910895544778e+00 3.213050102798451456e-03
1.368168408420421089e+00 3.362216284282528844e-03
1.378118905945297179e+00 3.515722524801620768e-03
1.388069403470173491e+00 3.673594656670144121e-03
1.398019900995049802e+00 3.835855868091468928e-03
1.407970398519926114e+00 4.002526697835425036e-03
1.417920896044802204e+00 4.173625033108072958e-03
1.427871393569678515e+00 4.349166110496233487e-03
1.437821891094554605e+00 4.529162519869571642e-03
1.447772388619430917e+00 4.713624211123214856e-03
1.457722886144307228e+00 4.902558503645771358e-03
1.467673383669183540e+00 5.095970098397818553e-03
1.477623881194059852e+00 5.293861092488864190e-03
1.487574378718936163e+00 5.496230996141397186e-03
1.497524876243812475e+00 5.703076751932562721e-03
1.507475373768688343e+00 5.914392756208166485e-03
1.517425871293564654e+00 6.130170882563071993e-03
1.527376368818440966e+00 6.350400507286739493e-03
1.537326866343317278e+00 6.575068536673927405e-03
