# Temperature_scaled  Cv
1.000000000000000000e+00 2.673595462537599280e-07
1.009950497524876312e+00 2.898416290067094934e-07
1.019900995049752401e+00 3.430476290070919619e-07
1.029851492574628713e+00 4.046268097269377137e-07
1.039801990099505025e+00 4.756691498216873462e-07
1.049752487624381114e+00 5.573747385149714703e-07
1.059702985149257426e+00 6.510612239763364945e-07
1.069653482674133738e+00 7.581714256190379357e-07
1.079603980199010049e+00 8.802810881742688443e-07
1.089554477723886139e+00 1.019106754127668037e-06
1.099504975248762451e+00 1.176513729977339879e-06
1.109455472773638762e+00 1.354524120796595257e-06
1.119405970298514852e+00 1.555324906764049224e-06
1.129356467823391164e+00 1.781276034662473877e-06
1.139306965348267475e+00 2.034918496847187064e-06
1.149257462873143565e+00 2.318982369845890771e-06
1.159207960398019877e+00 2.636394784572933510e-06
1.169158457922896188e+00 2.990287800120263205e-06
1.179108955447772278e+00 3.384006153220725669e-06
1.189059452972648590e+00 3.821114855762436304e-06
1.199009950497524901e+00 4.305406613159642476e-06
1.208960448022401213e+00 4.840909036949770267e-06
1.218910945547277302e+00 5.431891625679568646e-06
1.228861443072153614e+00 6.082872488958849733e-06
1.238811940597029926e+00 6.798624790487661371e-06
1.248762438121906015e+00 7.584182886895707823e-06
1.258712935646782327e+00 8.444848140357844051e-06
1.268663433171658639e+00 9.386194384160053629e-06
1.278613930696534950e+00 1.041407302167689306e-05
1.288564428221411040e+00 1.153461774057094091e-05
1.298514925746287352e+00 1.275424882542963478e-05
1.308465423271163441e+00 1.407967705350696165e-05
1.318415920796039753e+00 1.551790715972300904e-05
1.328366418320916065e+00 1.707624085858838452e-05
1.338316915845792376e+00 1.876227941224991981e-05
1.348267413370668466e+00 2.058392573539533595e-05
1.358217910895544778e+00 2.254938602929516947e-05
1.368168408420421089e+00 2.466717093879048603e-05
1.378118905945297179e+00 2.694609622755866248e-05
1.388069403470173491e+00 2.939528296848575948e-05
1.398019900995049802e+00 3.202415724744029913e-05
1.407970398519926114e+00 3.484244938018686680e-05
1.417920896044802204e+00 3.786019264357268422e-05
1.427871393569678515e+00 4.108772152347330752e-05
1.437821891094554605e+00 4.453566948329381442e-05
1.447772388619430917e+00 4.821496625807412576e-05
1.457722886144307228e+00 5.213683468044786348e-05
1.467673383669183540e+00 5.631278704584941069e-05
1.477623881194059852e+00 6.075462102544038398e-05
1.487574378718936163e+00 6.547441513624863651e-05
1.497524876243812475e+00 7.048452377897151423e-05
1.507475373768688343e+00 7.579757185478755573e-05
1.517425871293564654e+00 8.142644897333725705e-05
1.527376368818440966e+00 8.738430326480747432e-05
1.537326866343317278e+00 9.368453480974058055e-05
1.547277363868193367e+00 1.003407887008166838e-04
1.557227861393069679e+00 1.073669477514336770e-04
1.567178358917945991e+00 1.147771248663959933e-04
1.577128856442822302e+00 1.225856550904619985e-04
1.587079353967698614e+00 1.308070873508990662e-04
1.597029851492574926e+00 1.394561759104773343e-04
1.606980349017451237e+00 1.485478715476061247e-04
1.616930846542327105e+00 1.580973124805413891e-04
1.626881344067203417e+00 1.681198150526975825e-04
1.636831841592079506e+00 1.786308641962252577e-04
1.646782339116955818e+00 1.896461036910455163e-04
1.656732836641832129e+00 2.011813262365352742e-04
1.666683334166708441e+00 2.132524633530173154e-04
1.676633831691584753e+00 2.258755751300956492e-04
1.686584329216460620e+00 2.390668398387648481e-04
1.696534826741336932e+00 2.528425434240495501e-04
1.706485324266213244e+00 2.672190688947246326e-04
1.716435821791089555e+00 2.822128856264138398e-04
1.726386319315965867e+00 2.978405385941099116e-04
1.736336816840842179e+00 3.141186375498777493e-04
1.746287314365718268e+00 3.310638461611213525e-04
1.756237811890594580e+00 3.486928711245316690e-04
1.766188309415470448e+00 3.670224512703524093e-04
1.776138806940346759e+00 3.860693466713478305e-04
1.786089304465223071e+00 4.058503277703241459e-04
1.796039801990099383e+00 4.263821645396817365e-04
1.805990299514975694e+00 4.476816156861164139e-04
1.815940797039852006e+00 4.697654179129793681e-04
1.825891294564728096e+00 4.926502752525070607e-04
1.835841792089604407e+00 5.163528484795790012e-04
1.845792289614480719e+00 5.408897446181940537e-04
1.855742787139357031e+00 5.662775065514726557e-04
1.865693284664233342e+00 5.925326027453701062e-04
1.875643782189109210e+00 6.196714170959029787e-04
1.885594279713985522e+00 6.477102389092375713e-04
1.895544777238861833e+00 6.766652530234059520e-04
1.905495274763738145e+00 7.065525300800086896e-04
1.915445772288614457e+00 7.373880169538271851e-04
1.925396269813490768e+00 7.691875273476979054e-04
1.935346767338367080e+00 8.019667325596109390e-04
1.945297264863243170e+00 8.357411524285366777e-04
